RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-28, 10:35:36, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:35:37, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:35:38, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:49, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:54, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:36:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:03, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:04, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:05, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:06, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:08, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:09, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:10, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:11, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:12, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:13, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:14, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:15, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:16, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:17, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:18, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:20, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:21, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:22, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:23, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:24, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-28, 10:37:25, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
